video,crime_type,flagged,text,verdict,notes
Burglary080_x264,Burglary,1,"A gray-white jeep suddenly rushed over and knocked down a cash machine on the roadside. Two men in black jumped out of the car and rushed to the cash machine. Then another person jumped down from the driver’s seat to help. Someone had a rope in his hand, and someone went to the car and took out tools. The three of them were busy at the machine, but without success. The three of them suddenly turned around and ran away.",,
Shooting048_x264,Shooting,0,"A man in white clothes and a woman in yellow clothes are standing in front of the counter, and the man in blue clothes is standing. A man in a blue hood broke in with a gun and shot at the man in white clothes. The man in the blue hood slowly ran to the door and then fell down. The man in white clothes walked over with a gun. The man in blue clothes and the man in white clothes stood up and looked outside the door.",,
Burglary089_x264,Burglary,0,"A man in white with a black ponytail, carrying a backpack, got into the room from behind the curtain, opened the floor-to-ceiling curtain, and revealed the broken glass window behind. The man came to a desk and closed an open laptop The man walked to a desk inside again Man unplugs a computer monitor wire The man moved the monitor to the table. The man pulled off a host wire with force. The man put the host on the swivel chair in front of the door, and then began to put away the wires and so on. The machine fell to the ground, and the man bent down to pick it up and hold it in his arms. Anothe",,
Explosion004_x264,Explosion,0,"Two people wearing firefighting gear stood outside the door.  Flames erupted from the door. The two people outside the door ran away. A man came over, picked up the water gun on the ground and sprayed water into the door. A man came over and grabbed and pulled the water pipe. The smoke gradually becomes more and more. The person behind took the water gun, and the person in front picked up something from the ground.",,
Stealing098_x264,Stealing,1,"A person riding a bicycle passing by on the road A man pushed a bicycle and leaned it against the roadside. Then he entered the yard and bent down to check the motorcycle. The man left the yard, wandered to the road, and then arranged his clothes and hat The man covered his face with his hands and walked to the motorcycle, then walked deeper into the yard",,
RoadAccidents128_x264,RoadAccidents,0,A white car parked on the road A group of people were hit by a white car while walking on the road Pedestrians ran to the side White car drives away,,
Explosion025_x264,Explosion,0,"An explosion occurred in the distance, and a large amount of thick smoke floated away after a burst of fire.",,
Shooting010_x264,Shooting,0,The man entered the car door A man also came to the car Man fighting with people in car Two people beat each other with guns The man outside the car fell down The man in the car raised his gun to see,,
Shoplifting020_x264,Shoplifting,0,"The picture shows a shop. The boss is a long-haired woman wearing a pink T-shirt and a white skirt. There are two customers in the shop who are buying things. A customer wearing an orange top walked into the store to buy something, so the number of customers in the store became three. The female boss seemed to be writing the bill. A male customer wearing a green shirt stood up after choosing something. Another female customer in pink clothes behind the male customer in green shirt bent down to choose something. Two customers came in, and one of them patted the female customer in pink on the sh",,
Stealing016_x264,Stealing,1,"A man wearing gray clothes, blue pants and a hat walked from a red vehicle parked on the road to the door of the house The man in gray holding many cardboard boxes walked from the grass next to the path in front of the house to the red car parked on the street. The man in gray walked around from the back of the red car to the other side, opened the door and sat in The red car drove away",,
Stealing059_x264,Stealing,1,"A white car drove past a man in brown clothes in an underground parking lot leaning on a car A woman in blue opened the car door to check and then walked to the back of the car to communicate with the man in brown. While the two were talking, a man in a blue shirt and a peaked cap came to the lower right corner and opened the cab door and started rummaging around. The man in the peaked cap collected the things and left",,
Explosion024_x264,Explosion,1,Three people passed by. A large amount of white light came from the distance. The two people ran away.,,
Burglary100_x264,Burglary,0,"Someone appeared at the door and entered the room quietly, This person is active inside the door near the door. The man quietly and slowly walked into the room again, The man groped back and forth on the furniture table placed against the wall. The man occasionally takes items and puts them into his pants pockets. The man opened the door of the cabinet below again and rummaged inside. The man got up and walked towards the door. The man returned quickly. The man picked up an object similar to a cash register from the table and placed it on the ground. The man searched for and seemingly got the ",,
Robbery149_x264,Robbery,1,"The man leaned into the counter to take out something, and the old man at the counter pushed him out. The two of them hit each other. The man was kneeling on the counter and was pushed down by the old man. The old man walked out of the counter.",,
Stealing071_x264,Stealing,1,A man ran to a jeep and opened the door and rummaged through the car. The person standing next to the car door closed the door and opened it again to continue looking at the contents of the car. The car standing next to the car door opened the door and got in.,,
RoadAccidents078_x264,RoadAccidents,1,"A red bus parked in an open space After the bus driver got off the bus, another person got on the bus The red bus drove away and reversed The red bus hit a red bus behind it while reversing, and the driver got off The bus driver gets off The driver of the red bus got on and drove away The red bus reverses and parks in the open space A red bus enters the open space The red bus reversed and a person got off the bus. Red bus parking  After the red bus reversed slowly, the driver got off the bus The red bus drives forward slowly A man walked past the bus and patted the red bus again The man first ",,
Burglary001_x264,Burglary,0,"A truck backed up quickly, broke through the door, and then drove forward. The truck is moving forward again. Two men got off the car and broke into the door, and one person entered the room. Another person ran in Another person pushed down an iron frame and it fell to the ground. The man ran outside. One of the people pushed an iron box towards the door The man got in and drove the car forward. Another person came out of the room holding a box and ran to the car. The two men pushed the box that fell on the ground out again The two of them worked together to transport it to the car. The two pe",,
Stealing024_x264,Stealing,0,"There are seven tables of people eating in a row. Then left along the corridor. Another group of people came from across the corridor When a person passed by the back corridor, he picked up the black bag of the person at the second table and placed it on the chair of the person wearing a white shirt at the second table. A man in blue clothes was hiding in the crowd and reached out and took away the black bag behind the seat of the man in the white shirt at the second table.  People at seven tables were eating, and a woman in a white shirt passed by the corridor behind",,
Fighting043_x264,Fighting,0,"Two men came over and opened the car door A man hits the driver The man continued to beat the driver, attracting people to watch A woman and a man came from the left, pulled several people away, and closed the door. The man in white punched the window a few more times The white truck drove away, followed by a brown car parked The people inside the house came out and smashed the brown car and then returned Brown car drives away A person holding a brick tried to hit the man in blue, but was blocked by the woman in pink top. The man in blue walked back to provoke, but was dissuaded by the woman i",,
