judge,pair,type,name,within_judge,within_gap_pp,aggregated,agrees
Claude,GPT vs Gemini,H1,Scene Fabrication,Gemini,38.4,Gemini,1
Claude,GPT vs Gemini,H2,Crime Misclassification,Gemini,11.0,Gemini,1
Claude,GPT vs Gemini,H3,Crime Missed,GPT,1.4,GPT,1
Claude,GPT vs Gemini,H4,Severity Minimization,GPT,16.8,GPT,1
Claude,GPT vs Gemini,H5,Entity Fabrication,Gemini,41.5,Gemini,1
Claude,GPT vs Gemini,H6,Phantom Actors,Gemini,34.4,Gemini,1
GPT,Claude vs Gemini,H1,Scene Fabrication,Gemini,4.1,Claude,0
GPT,Claude vs Gemini,H2,Crime Misclassification,Gemini,0.1,Gemini,1
GPT,Claude vs Gemini,H3,Crime Missed,Gemini,7.7,Gemini,1
GPT,Claude vs Gemini,H4,Severity Minimization,Gemini,4.3,Gemini,1
GPT,Claude vs Gemini,H5,Entity Fabrication,Gemini,6.5,Claude,0
GPT,Claude vs Gemini,H6,Phantom Actors,Claude,6.6,Claude,1
Gemini,Claude vs GPT,H1,Scene Fabrication,Claude,29.3,Claude,1
Gemini,Claude vs GPT,H2,Crime Misclassification,Claude,9.1,Claude,1
Gemini,Claude vs GPT,H3,Crime Missed,GPT,8.6,GPT,1
Gemini,Claude vs GPT,H4,Severity Minimization,GPT,21.9,GPT,1
Gemini,Claude vs GPT,H5,Entity Fabrication,Claude,27.2,Claude,1
Gemini,Claude vs GPT,H6,Phantom Actors,Claude,29.1,Claude,1
